,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
IA -- MAHASKA (County),30,26,42,43,78,55,51,48,34,358,2,0,0,4,43,0,4,3,10,9,13,27,25,59,255,2,0,20,13,10,47,111,98,0,97,2,5,2,2,19,63,246,79,5,245,81,0,76,0,0,407
IA -- MARION (County),44,34,56,74,161,138,98,71,39,607,2,0,1,3,102,0,2,6,14,21,22,37,45,128,439,1,3,22,16,22,59,176,197,6,167,11,19,9,8,52,124,353,186,2,381,168,0,164,0,0,715
IA -- MARSHALL (County),56,39,66,97,257,134,103,68,65,760,7,0,2,2,114,0,1,5,12,16,30,44,41,140,593,3,0,39,31,46,78,228,254,2,177,13,13,3,1,98,185,388,214,3,392,286,0,204,0,0,885
IA -- MILLS (County),33,23,21,30,78,84,41,26,21,314,7,0,2,2,32,0,0,1,7,13,20,15,31,67,202,1,2,5,5,12,20,60,81,16,99,17,17,18,5,14,53,188,102,3,235,57,0,62,0,0,357
IA -- MITCHELL (County),20,15,14,37,94,40,31,14,14,241,1,0,3,1,33,0,0,1,7,6,6,12,15,48,183,1,0,14,6,10,25,73,72,0,74,0,4,1,0,19,35,143,82,0,130,77,0,72,0,0,279
IA -- MONONA (County),21,13,24,29,57,48,29,14,10,213,0,0,0,3,29,0,0,2,8,4,6,10,12,39,164,0,0,21,6,15,32,66,45,0,56,3,0,0,1,16,43,119,67,2,121,67,0,55,0,0,245
IA -- MONROE (County),16,15,14,18,47,26,20,17,16,173,1,0,0,1,14,0,0,2,4,8,5,6,11,30,123,0,0,7,4,13,22,52,45,4,40,1,1,0,0,18,19,101,51,0,98,60,0,31,0,0,189
IA -- MONTGOMERY (County),31,23,34,34,49,43,35,28,24,262,1,0,0,0,38,0,0,6,10,11,11,15,18,47,183,0,1,20,6,12,48,82,61,0,63,2,6,0,0,9,28,183,81,3,195,40,0,63,0,0,301
IA -- MUSCATINE (County),83,87,97,120,215,170,97,57,28,803,27,0,2,4,118,0,4,6,30,27,38,48,48,190,561,2,0,21,14,31,81,220,225,13,274,27,20,19,9,80,234,400,240,8,423,263,0,260,0,0,954
IA -- O'BRIEN (County),29,18,20,26,65,49,49,44,41,285,3,0,1,1,51,0,1,5,12,9,10,10,9,36,247,2,1,15,12,11,36,90,87,0,85,1,3,0,0,5,26,233,77,3,250,42,0,46,0,0,341
IA -- OSCEOLA (County),4,6,9,13,22,21,23,14,27,109,0,0,0,0,30,0,1,0,1,6,5,7,2,23,94,0,0,6,4,3,18,36,32,1,39,0,0,0,0,3,10,106,20,0,110,15,0,14,0,0,139
IA -- PAGE (County),34,25,32,38,55,58,50,69,45,360,3,2,2,1,38,0,2,3,12,6,12,18,10,56,284,3,0,29,8,24,64,115,90,0,70,1,3,1,1,14,60,276,56,0,282,59,0,65,0,0,406
IA -- PALO ALTO (County),17,23,16,24,49,34,20,16,15,180,1,0,0,0,33,0,0,1,9,9,10,7,7,40,131,0,0,10,11,15,19,48,48,2,57,1,1,2,0,17,42,94,61,1,86,76,0,51,0,0,214
IA -- PLYMOUTH (County),36,40,44,66,138,110,54,47,50,474,5,1,0,2,103,0,1,5,9,23,20,38,27,100,361,1,0,8,16,11,29,119,171,16,187,10,11,2,5,20,85,352,128,1,354,91,0,139,0,0,585
IA -- POCAHONTAS (County),13,12,7,20,41,37,20,17,19,155,1,0,0,0,30,0,1,2,1,2,7,5,8,33,127,0,1,10,8,5,21,61,35,0,45,0,0,0,0,6,32,110,38,2,104,33,0,47,0,0,186
IA -- POLK (County),483,479,656,913,2180,1272,983,752,683,7068,133,97,55,66,982,0,41,82,297,363,528,540,557,1487,4497,9,21,164,139,217,568,1580,1596,185,2633,298,391,342,267,1952,1582,2693,2174,67,3300,2959,0,2075,0,0,8401
IA -- POTTAWATTAMIE (County),223,169,182,304,572,435,252,171,102,2088,29,2,5,13,273,0,17,22,61,80,120,135,180,439,1355,1,7,68,44,100,191,566,523,66,669,43,78,41,14,142,572,1146,550,16,1252,592,0,550,0,0,2410
IA -- POWESHIEK (County),30,16,23,40,101,65,42,40,23,312,2,0,0,0,66,0,3,3,7,6,14,11,21,54,259,2,1,11,13,18,47,76,80,1,107,10,9,6,1,55,54,190,81,2,179,91,0,108,0,0,380
IA -- RINGGOLD (County),3,7,8,10,15,17,13,17,18,93,0,0,0,2,13,0,0,0,2,3,6,5,5,11,76,0,0,7,2,5,11,30,32,3,18,0,0,0,0,9,12,71,16,0,65,29,0,14,0,0,108
IA -- SAC (County),20,10,13,17,60,41,31,28,21,206,0,0,0,0,35,0,0,1,6,10,10,9,10,35,158,2,1,6,6,13,20,59,68,2,63,1,2,0,0,5,17,163,56,0,153,36,0,52,0,0,241
IA -- SCOTT (County),382,270,363,464,1177,661,403,292,231,3490,93,76,24,45,515,0,18,58,139,139,241,236,272,768,2370,2,6,114,80,132,356,875,946,60,1196,111,175,90,102,725,938,1445,1135,25,1695,1316,0,1207,0,0,4243
IA -- SHELBY (County),27,18,20,36,52,52,38,30,19,247,2,0,0,1,42,0,1,2,7,7,13,17,15,44,184,2,0,2,3,10,31,57,84,7,89,3,4,2,0,14,31,196,51,3,185,56,0,48,0,0,292
IA -- SIOUX (County),20,20,33,46,110,88,85,93,104,480,5,0,1,2,111,0,0,5,20,15,24,36,33,80,386,0,1,6,11,12,31,94,177,11,211,26,13,5,1,3,100,260,236,0,496,45,0,58,0,0,599
IA -- STORY (County),66,65,87,134,323,208,155,131,117,1099,6,0,6,12,163,0,7,15,39,48,56,71,80,180,788,2,3,21,18,31,84,211,356,22,400,26,57,32,25,259,238,442,347,9,533,399,0,345,0,0,1286
IA -- TAMA (County),40,27,23,37,125,71,61,42,27,378,4,0,1,4,66,0,0,3,12,11,20,22,22,77,285,1,2,22,16,19,49,120,98,3,115,6,2,1,0,27,82,223,121,1,230,124,0,98,0,0,453
IA -- TAYLOR (County),18,8,12,16,28,32,19,16,9,137,1,0,1,0,19,0,0,2,3,3,6,8,8,22,106,0,0,7,7,11,19,38,41,0,34,1,0,0,0,4,14,107,33,1,98,24,0,35,0,0,158
IA -- UNION (County),29,22,18,27,57,62,42,25,28,281,2,0,0,3,24,0,1,0,8,9,4,19,16,55,198,0,0,19,13,23,47,65,77,3,56,1,4,1,1,19,67,157,67,0,170,67,0,73,0,0,310
IA -- VAN BUREN (County),15,13,13,21,37,31,31,26,12,173,0,0,1,0,25,0,1,1,4,4,10,8,11,31,128,1,0,16,9,9,20,53,40,0,48,2,1,0,1,8,12,146,33,4,131,26,0,38,0,0,199
IA -- WAPELLO (County),80,49,73,82,195,145,85,98,53,762,9,4,4,3,78,0,2,10,20,18,48,37,49,143,532,1,2,72,24,70,153,192,170,8,158,7,2,1,1,186,172,314,188,1,313,356,0,190,0,0,860
IA -- WARREN (County),68,62,106,165,366,203,139,108,99,1129,14,1,1,5,166,0,8,10,42,47,76,94,97,238,701,3,3,13,15,17,76,189,350,60,416,50,61,38,28,140,259,526,391,16,630,354,0,316,0,0,1316
IA -- WASHINGTON (County),44,21,21,50,114,89,66,54,34,414,7,2,1,8,61,0,1,4,18,13,22,18,21,87,307,2,1,11,11,18,42,106,116,25,130,10,12,9,2,45,79,274,95,2,266,114,0,111,0,0,493
IA -- WAYNE (County),9,10,9,9,35,25,17,6,13,124,1,0,0,0,8,0,0,0,2,1,2,6,9,18,93,2,0,8,5,6,21,30,29,0,32,1,1,0,0,5,26,70,32,0,65,35,0,33,0,0,133
IA -- WEBSTER (County),94,54,67,93,203,152,104,74,62,754,8,7,0,7,127,0,4,15,24,24,36,36,44,167,551,2,1,41,17,58,107,223,232,4,190,17,7,3,3,144,149,378,232,5,414,281,0,203,0,0,903
IA -- WINNEBAGO (County),17,16,18,28,81,49,29,27,17,216,3,0,0,2,61,0,1,3,5,9,9,10,5,45,195,0,3,14,12,11,17,75,74,0,73,2,0,1,0,21,44,146,71,0,144,59,0,79,0,0,282
IA -- WINNESHIEK (County),17,21,16,40,118,98,50,32,30,335,1,0,1,4,81,0,2,1,5,7,15,17,15,51,308,1,0,7,12,14,30,108,112,2,111,9,12,2,3,43,57,222,100,1,206,117,0,98,0,0,422
IA -- WOODBURY (County),173,145,189,251,427,295,282,238,259,1904,26,10,10,18,291,0,14,18,63,76,98,124,123,380,1360,3,15,78,45,94,231,586,491,23,562,39,50,33,12,278,399,1066,516,13,1177,601,0,468,0,0,2259
IA -- WORTH (County),10,8,9,21,51,37,22,14,11,153,4,0,1,2,23,0,0,2,7,5,11,5,10,30,112,1,0,8,3,6,15,49,63,0,36,3,0,0,0,11,30,106,36,1,98,40,0,44,0,0,183
IA -- WRIGHT (County),28,21,22,33,78,45,35,32,21,270,2,0,1,2,40,0,1,3,6,6,10,12,13,44,220,0,0,11,9,14,40,111,64,0,52,9,3,1,1,24,48,181,62,0,181,61,0,73,0,0,315
ID -- ADA (County),92,193,402,797,1555,1791,1877,1854,1604,8652,274,9,55,76,1099,0,14,23,76,157,482,625,947,2002,5835,4,33,77,80,109,383,1229,1929,232,3723,489,713,517,651,1500,1190,645,6830,69,6741,1011,0,2344,0,0,10165
ID -- ADAMS (County),0,3,6,12,18,16,22,18,39,113,2,0,0,0,19,0,0,0,0,2,3,2,6,16,105,0,1,6,1,3,21,38,24,0,35,2,2,1,0,1,12,80,41,0,103,7,0,24,0,0,134
ID -- BANNOCK (County),9,28,58,98,178,209,194,167,192,998,23,0,5,4,103,0,4,3,14,22,36,64,75,188,726,1,4,34,28,42,133,275,233,40,268,20,22,22,12,119,191,170,653,4,703,113,0,313,0,0,1133
ID -- BEAR LAKE (County),1,0,2,6,9,7,11,16,25,70,1,0,0,0,6,0,0,0,0,1,2,3,2,12,57,0,0,7,3,2,8,23,19,0,13,0,1,1,0,2,5,51,19,0,65,3,0,9,0,0,77
ID -- BENEWAH (County),2,3,6,6,29,25,27,28,28,134,1,0,0,0,19,0,0,0,2,1,3,5,9,30,104,0,4,8,5,8,34,43,20,0,29,0,2,1,0,3,8,117,26,1,112,11,0,30,0,0,154
ID -- BINGHAM (County),4,16,25,55,54,93,76,94,97,450,13,0,4,1,46,0,1,4,13,14,16,29,32,82,323,0,2,18,17,11,51,118,107,27,140,9,4,5,5,23,26,329,136,3,391,30,0,90,0,0,514
ID -- BLAINE (County),0,3,0,4,8,7,3,6,6,31,0,0,0,0,6,0,0,0,0,1,2,1,2,2,29,0,1,0,0,0,1,7,9,2,10,2,1,2,2,3,5,13,16,0,17,3,0,17,0,0,37
ID -- BOISE (County),5,3,9,18,33,49,45,49,60,232,3,0,0,1,35,0,1,0,0,2,4,8,17,59,180,0,2,3,5,6,15,82,52,3,73,9,8,8,5,19,11,189,52,0,221,19,0,31,0,0,271
ID -- BONNER (County),4,7,23,22,53,78,87,111,138,466,6,0,1,3,47,0,1,0,4,7,18,23,25,91,353,1,7,22,14,26,66,136,105,8,109,10,12,7,1,16,30,348,129,4,426,29,0,64,0,0,523
ID -- BONNEVILLE (County),15,39,63,123,185,248,220,248,238,1204,22,0,13,10,130,0,1,8,14,28,67,85,86,247,840,3,5,21,18,40,119,278,338,48,402,23,53,19,15,77,145,634,523,10,1031,69,0,269,0,0,1379
ID -- BOUNDARY (County),0,0,6,15,15,19,20,23,39,111,3,0,0,1,22,0,1,0,1,0,2,4,9,30,90,0,0,14,3,10,18,36,23,0,31,0,1,1,0,3,3,93,38,1,114,4,0,18,0,0,137
ID -- BUTTE (County),0,1,1,1,4,0,5,4,5,19,0,0,0,0,2,0,0,0,1,0,0,2,0,4,14,0,0,2,0,5,5,4,3,0,2,0,0,0,0,0,0,15,6,0,15,0,0,6,0,0,21
ID -- CAMAS (County),1,0,0,0,2,2,1,1,0,6,0,0,0,0,1,0,0,0,0,0,2,1,0,0,4,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,4,3,0,5,1,0,1,0,0,7
ID -- CANYON (County),52,128,273,511,842,913,1018,987,976,4773,284,4,38,36,565,0,6,9,43,68,271,292,448,1070,3491,2,12,83,100,141,477,1391,1289,82,1735,147,132,66,45,330,940,1112,3318,25,4202,330,0,1143,0,0,5700
ID -- CARIBOU (County),1,5,1,8,11,10,15,16,28,89,0,0,1,0,5,0,0,1,0,1,3,5,8,8,69,0,0,2,4,5,13,19,25,0,24,2,0,0,1,0,7,54,34,0,82,4,0,9,0,0,95
ID -- CASSIA (County),1,11,12,25,28,17,31,52,56,194,10,0,2,2,25,0,0,2,4,0,11,8,13,30,164,1,1,10,6,10,33,79,41,0,46,4,1,0,2,0,20,150,63,0,194,6,0,33,0,0,233
ID -- CLARK (County),0,1,0,0,1,2,0,2,4,9,0,0,0,0,1,0,0,0,0,0,2,0,0,1,7,0,1,0,0,1,1,2,0,0,4,1,0,0,0,0,1,6,3,0,10,0,0,0,0,0,10
ID -- CLEARWATER (County),2,4,3,12,19,15,25,37,26,130,1,1,0,0,11,0,0,1,0,2,1,3,6,20,110,0,0,9,7,6,28,41,27,0,23,0,1,1,0,4,16,99,24,1,95,12,0,35,0,0,143
ID -- CUSTER (County),1,2,2,2,5,8,11,12,20,57,1,0,0,0,5,0,0,0,0,2,2,1,3,11,44,0,2,3,4,3,9,20,10,0,12,0,0,0,0,3,0,51,9,0,55,1,0,7,0,0,63
ID -- ELMORE (County),10,21,35,49,92,110,122,159,213,698,22,0,2,3,86,0,3,6,9,5,21,33,45,211,478,0,2,13,16,30,98,181,191,10,239,14,11,4,2,43,57,605,106,1,624,60,0,126,0,0,811
ID -- FRANKLIN (County),0,3,7,11,10,24,18,29,20,113,0,0,2,0,7,0,0,0,1,2,1,5,8,20,84,1,1,6,3,5,16,27,30,0,31,2,1,0,0,1,5,102,14,0,109,3,0,10,0,0,122
ID -- FREMONT (County),3,7,4,5,13,14,19,23,48,114,0,0,0,0,22,0,1,2,3,0,4,13,4,17,92,0,1,10,3,10,14,31,18,0,44,2,1,1,1,3,47,17,69,0,117,3,0,16,0,0,136
ID -- GEM (County),3,16,31,42,85,99,131,139,190,641,19,1,2,3,70,0,0,1,6,5,26,21,39,121,517,0,2,22,18,20,60,243,133,0,200,22,11,3,2,22,53,543,118,2,575,48,0,111,0,0,736
ID -- GOODING (County),2,4,5,11,11,23,23,35,48,144,6,0,0,1,11,0,1,1,2,1,8,8,7,23,109,2,0,8,6,5,28,33,28,0,50,3,1,0,0,2,9,123,28,1,137,2,0,22,0,0,162
ID -- IDAHO (County),3,6,14,19,38,33,46,53,87,255,1,0,1,0,42,0,0,2,5,8,4,12,18,40,210,0,2,12,9,10,48,86,47,0,83,0,1,1,0,2,19,205,73,1,241,11,0,46,0,0,299
ID -- JEFFERSON (County),2,20,23,19,36,55,57,58,78,305,7,0,3,0,33,0,2,2,1,13,17,28,25,73,187,0,0,11,3,7,23,46,126,0,108,9,6,5,4,12,64,88,184,1,291,7,0,49,0,0,348
ID -- JEROME (County),1,12,11,21,29,31,39,40,49,205,5,0,0,0,23,0,1,1,4,3,11,11,14,34,154,0,1,14,7,8,32,68,46,6,48,3,0,0,0,6,21,159,47,0,175,10,0,48,0,0,233
ID -- KOOTENAI (County),34,80,131,207,330,361,360,343,451,1948,54,3,5,22,265,0,7,11,24,42,86,107,137,430,1450,3,9,38,41,60,186,525,542,51,639,56,71,47,32,153,253,1237,654,16,1653,204,0,424,0,0,2297
ID -- LATAH (County),2,6,17,28,52,65,58,67,67,323,6,0,1,1,31,0,1,1,3,2,7,13,16,65,254,0,1,15,3,15,16,87,86,6,107,11,7,6,2,70,12,68,212,2,224,46,0,90,0,0,362
ID -- LEMHI (County),0,5,9,5,15,12,24,24,36,113,1,0,2,0,14,0,0,0,1,2,4,3,3,20,97,0,0,7,7,3,27,35,27,0,23,0,0,1,0,1,5,80,44,0,118,3,0,9,0,0,130
ID -- LEWIS (County),0,1,3,7,5,7,5,10,8,41,0,0,0,0,5,0,0,0,3,0,2,0,2,7,32,0,2,6,3,1,8,12,8,0,4,1,1,0,0,1,4,36,5,0,36,3,0,7,0,0,46
ID -- LINCOLN (County),0,1,2,1,3,4,8,9,9,35,0,0,0,0,2,0,0,0,1,1,0,3,3,8,21,0,0,3,2,3,7,12,2,0,8,0,0,0,0,1,4,29,3,0,31,1,0,5,0,0,37
ID -- MADISON (County),2,8,12,10,21,27,24,39,48,173,3,0,0,0,15,0,1,1,6,7,7,7,14,31,116,1,1,4,5,8,22,42,37,5,58,5,3,0,1,4,53,32,102,0,167,5,0,19,0,0,191
ID -- MINIDOKA (County),1,10,7,17,21,26,41,51,49,191,9,0,2,1,20,0,0,0,2,1,8,5,3,39,164,1,1,10,5,12,27,67,47,0,49,2,2,1,0,7,5,177,34,0,183,11,0,29,0,0,223
ID -- NEZ PERCE (County),6,17,55,72,129,135,129,118,112,663,8,1,2,5,94,0,2,2,6,12,35,30,43,138,503,2,8,14,22,28,84,177,171,16,205,17,20,6,5,59,128,372,214,2,511,79,0,181,0,0,773
ID -- ONEIDA (County),0,0,4,4,7,6,7,12,16,51,0,0,0,1,4,0,0,0,0,0,2,5,3,8,38,0,0,4,0,2,7,16,7,0,20,0,0,0,0,0,1,43,12,0,45,7,0,4,0,0,56
ID -- OWYHEE (County),5,2,17,22,30,46,45,58,47,233,9,0,0,0,30,0,0,1,3,3,8,12,27,32,186,0,0,14,11,15,40,69,37,0,75,3,4,3,1,2,12,192,66,2,229,11,0,30,0,0,272
ID -- PAYETTE (County),7,21,36,59,110,132,116,124,170,655,22,0,7,0,91,0,2,1,2,9,22,28,48,148,515,0,6,25,17,26,90,267,113,17,176,14,18,2,4,21,64,554,136,3,597,35,0,140,0,0,775
ID -- POWER (County),0,3,3,5,12,9,14,21,18,76,1,0,0,0,8,0,0,0,0,2,1,6,4,9,63,0,0,3,4,8,18,24,8,0,12,3,1,2,2,1,17,49,18,0,63,4,0,18,0,0,85
ID -- SHOSHONE (County),2,4,9,9,18,24,29,30,53,154,2,0,0,0,22,0,1,1,3,1,1,3,8,27,133,0,5,16,7,23,40,44,20,0,22,0,1,0,0,13,14,105,46,0,121,29,0,28,0,0,178
ID -- TETON (County),0,1,2,3,6,4,3,5,14,35,0,0,0,1,2,0,1,0,0,0,4,3,1,7,22,0,1,1,0,0,5,10,6,0,10,1,3,0,1,3,2,11,22,2,27,3,0,6,0,0,38
ID -- TWIN FALLS (County),17,32,45,82,130,160,156,151,223,850,36,0,6,4,100,0,5,9,14,22,37,44,50,155,659,1,3,26,23,45,131,256,206,18,252,8,15,8,5,45,97,625,229,5,746,66,0,179,0,0,996
ID -- VALLEY (County),2,5,9,21,27,46,56,36,40,208,2,0,0,2,30,0,0,1,1,1,4,14,16,45,160,0,5,4,1,3,17,65,50,0,65,5,13,7,7,15,7,148,72,1,180,17,0,44,0,0,242
ID -- WASHINGTON (County),2,7,14,19,34,59,58,61,152,334,16,0,3,3,50,0,0,0,0,1,12,19,20,57,297,0,1,9,15,30,61,124,53,0,104,5,2,2,0,4,43,262,97,1,327,26,0,52,0,0,406
IL -- ADAMS (County),185,110,123,165,243,259,255,273,291,1625,2,3,5,6,263,0,5,13,51,64,94,93,124,307,1143,10,5,101,64,108,217,466,428,56,416,15,19,6,3,40,139,1284,441,0,1072,341,0,491,0,0,1904
IL -- ALEXANDER (County),11,5,13,6,13,10,11,12,24,70,1,29,0,0,5,0,0,0,3,3,3,5,4,26,59,2,1,9,10,15,29,23,3,0,14,0,0,1,0,1,9,44,51,0,36,54,0,15,0,0,105
IL -- BOND (County),63,31,44,60,138,110,135,113,168,712,5,3,2,6,134,0,4,5,13,17,36,48,64,164,511,0,2,18,23,42,101,177,218,10,229,14,18,8,2,20,42,576,224,0,462,201,0,199,0,0,862
IL -- BOONE (County),143,61,100,97,140,160,152,206,158,959,48,5,9,12,184,0,0,16,37,29,46,55,98,254,679,3,7,29,13,42,102,263,286,50,314,45,43,9,14,139,123,691,264,0,617,304,0,296,0,0,1217
IL -- BROWN (County),6,9,6,4,10,6,14,11,12,66,0,9,0,0,3,0,0,1,1,2,6,6,6,12,44,0,0,9,4,4,6,34,8,0,12,1,0,0,0,1,6,51,20,0,49,18,0,11,0,0,78
IL -- BUREAU (County),53,39,44,69,94,103,94,103,74,570,20,0,0,1,82,0,2,6,15,26,24,32,30,115,421,2,7,34,22,31,64,190,173,11,130,4,4,0,3,32,64,384,193,0,319,190,0,164,0,0,673
IL -- CALHOUN (County),9,0,3,5,13,17,13,13,10,74,0,0,0,0,9,0,1,0,2,4,4,1,4,10,56,1,0,7,1,6,4,27,22,0,16,0,0,0,0,10,6,32,35,0,29,43,0,11,0,0,83
IL -- CARROLL (County),42,25,34,44,53,67,72,70,55,375,8,3,0,0,76,0,2,1,9,14,23,19,27,79,285,3,1,26,23,29,52,147,78,10,85,4,6,1,0,9,16,300,137,0,240,113,0,108,0,1,462
IL -- CASS (County),18,11,20,26,44,32,29,27,43,222,1,0,0,1,26,0,1,2,6,5,6,12,13,45,159,1,1,21,10,20,27,79,43,6,41,1,1,0,0,4,28,137,81,0,111,91,0,48,0,0,250
IL -- CHAMPAIGN (County),204,149,168,202,323,364,366,458,528,2272,35,124,28,17,286,0,12,34,81,95,116,163,159,429,1668,5,14,69,63,86,282,462,601,104,852,83,87,41,18,482,124,1564,592,0,1437,855,0,470,0,0,2762
IL -- CHRISTIAN (County),68,53,58,70,134,120,103,115,121,732,3,0,2,5,100,0,2,5,11,31,38,35,62,160,497,1,2,51,26,53,134,211,186,4,165,2,4,2,2,12,71,485,274,0,429,247,0,166,0,0,842
IL -- CLARK (County),59,16,19,23,52,47,58,68,81,388,3,0,0,0,32,0,1,3,8,9,12,20,35,88,246,1,1,30,18,12,62,101,108,0,84,2,4,0,1,4,12,325,82,0,257,81,0,85,0,0,423
IL -- CLAY (County),25,17,20,34,42,36,39,42,98,317,2,1,0,3,30,0,1,1,7,8,11,9,35,52,225,4,2,38,24,23,44,109,57,0,55,0,1,0,0,2,16,277,58,0,243,66,0,44,0,0,353
IL -- CLINTON (County),182,111,165,223,438,350,293,277,303,1804,23,2,6,6,501,0,2,5,26,49,160,127,180,498,1292,3,3,34,37,56,104,364,637,65,847,61,83,40,11,34,117,1698,493,0,1263,414,0,665,0,0,2342
IL -- COLES (County),91,59,53,72,110,113,130,169,225,906,6,2,3,2,103,0,7,15,24,33,38,41,76,154,628,6,3,64,46,67,160,222,228,14,203,5,9,0,1,25,50,670,277,0,589,223,0,210,0,0,1022
IL -- COOK (County),6855,3753,3873,4361,5797,6126,6593,7574,10125,31736,4391,9688,821,1345,7076,0,199,516,1640,2032,2481,2491,2987,9091,32696,924,496,910,896,1506,4059,10018,11264,1828,15492,1984,2588,2041,1975,11885,10611,14501,18060,39,14057,32176,0,8785,0,0,55057
IL -- CRAWFORD (County),39,28,34,43,54,62,65,83,79,438,1,0,0,3,45,0,2,3,7,13,14,32,25,88,303,0,1,42,15,35,54,140,103,12,79,0,3,3,0,2,30,344,111,0,274,117,0,96,0,0,487
IL -- CUMBERLAND (County),18,15,11,13,30,37,26,40,51,211,0,0,0,4,26,0,1,1,2,7,5,19,17,45,140,4,0,17,17,15,31,55,66,5,34,1,0,0,0,3,12,186,40,0,152,51,0,38,0,0,241
IL -- DEKALB (County),135,107,98,139,241,219,217,253,250,1362,36,12,5,17,227,0,11,15,61,72,90,83,95,328,900,4,5,20,15,38,111,305,454,46,554,26,46,31,8,284,34,944,397,0,795,488,0,376,0,0,1659
IL -- DEWITT (County),29,11,18,17,42,41,41,46,81,288,2,0,1,1,34,0,1,1,7,8,9,11,19,61,207,2,5,16,12,13,39,79,85,0,66,3,7,1,0,7,13,242,64,0,213,68,0,45,0,0,326
IL -- DOUGLAS (County),36,14,16,17,38,56,52,42,84,312,2,0,2,1,38,0,0,3,6,8,12,27,26,62,210,1,1,17,12,12,42,120,75,0,72,4,0,0,0,4,24,259,68,0,221,68,0,66,0,0,355
IL -- DUPAGE (County),1140,713,896,1010,1748,1758,1858,2045,2353,10204,622,51,237,339,2068,0,42,102,397,496,669,641,757,2504,7853,60,27,52,53,92,292,1057,2331,475,4802,949,1290,1129,972,2680,1209,6749,2883,0,6365,4593,0,2563,0,0,13521
IL -- EDGAR (County),66,39,38,40,52,65,58,57,68,427,1,0,1,2,52,0,1,3,9,20,17,18,41,74,296,4,2,32,25,26,93,117,110,6,69,0,3,0,0,4,20,360,99,0,276,95,0,112,0,0,483
IL -- EDWARDS (County),10,6,8,5,7,9,11,17,23,84,1,0,0,0,11,0,0,0,4,5,2,5,9,11,60,0,1,9,3,8,12,40,13,0,9,1,0,0,0,0,2,85,9,0,67,11,0,18,0,0,96
IL -- EFFINGHAM (County),56,33,34,71,122,89,108,132,198,708,0,0,0,9,126,0,4,6,22,34,45,38,43,161,486,4,1,38,23,35,75,192,235,16,204,11,9,3,1,13,41,639,150,0,560,142,0,141,0,0,843
IL -- FAYETTE (County),17,13,21,22,44,36,34,37,38,231,4,4,1,1,21,0,1,1,8,7,3,12,20,39,170,1,5,14,15,18,48,69,39,6,45,3,0,0,0,5,14,186,57,0,150,55,0,57,0,0,262
IL -- FORD (County),34,17,27,28,43,36,43,49,63,293,5,0,1,0,41,0,2,3,7,9,16,15,19,39,228,2,2,11,13,13,52,83,91,0,65,4,5,1,0,1,17,274,48,0,251,38,0,51,0,0,340
IL -- FRANKLIN (County),119,76,53,97,142,145,116,130,163,919,5,1,5,3,108,0,4,10,26,48,39,49,74,153,634,4,18,109,60,83,202,290,150,0,123,1,4,1,0,17,127,548,349,0,506,362,0,173,0,0,1041
IL -- FULTON (County),129,42,66,81,129,117,131,127,126,796,1,8,1,13,129,0,7,12,29,22,24,41,59,168,584,2,6,67,50,57,152,255,200,3,148,3,5,0,2,28,103,455,362,0,356,382,0,210,0,0,948
IL -- GALLATIN (County),8,5,1,8,10,16,9,20,18,84,0,0,1,0,10,0,0,2,1,1,6,4,5,14,62,0,0,7,4,9,19,24,15,2,15,0,0,0,0,7,6,44,38,0,50,39,0,6,0,0,95
IL -- GREENE (County),44,22,16,28,29,34,22,36,44,237,1,0,0,0,37,0,2,4,8,12,13,10,19,42,164,1,1,23,18,19,49,85,38,0,41,1,0,0,0,9,15,172,79,0,134,72,0,69,0,0,275
